Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
39550273;CC Atocha - Doble Estándar;303854942;Palos de Moguer;Private room;1000;1;4;2020-03-02;0.54;5;360;2020-07-17;Madrid;Spain;40.40622713943183, -3.695224710649226;Spain, Madrid, Palos de Moguer
39568259;Matadero Madrid 1;69164206;Chopera;Entire home/apt;60;2;4;2020-01-27;0.46;7;329;2020-07-17;Madrid;Spain;40.3987493060292, -3.698133672630747;Spain, Madrid, Chopera
39569027;Lovely apartment next to the Prado Museum;38658869;Cortes;Entire home/apt;80;2;15;2020-03-08;1.74;1;195;2020-07-17;Madrid;Spain;40.41201348462293, -3.6941718154242666;Spain, Madrid, Cortes
39601033;Bed in 8-Bed Female Dorm with Shared Bathroom;304035848;Justicia;Shared room;500;1;0;;;14;251;2020-07-17;Madrid;Spain;40.42730878654349, -3.698140245019259;Spain, Madrid, Justicia
39624810;Piso para 5 personas con WiFi;304476461;Pueblo Nuevo;Entire home/apt;95;1;22;2020-02-22;2.55;1;74;2020-07-17;Madrid;Spain;40.42067721522493, -3.625100454570595;Spain, Madrid, Pueblo Nuevo
39627393;Lujo, diseño y tranquilidad en plena Gran Via;197974523;Palacio;Entire home/apt;69;14;0;;;6;258;2020-07-17;Madrid;Spain;40.420749996883764, -3.707489715372603;Spain, Madrid, Palacio
39640495;Fantastic apartment in Center of Madrid (Chamberi);57149406;Arapiles;Entire home/apt;120;2;2;2019-12-08;0.23;1;87;2020-07-17;Madrid;Spain;40.436288073784404, -3.710219113987069;Spain, Madrid, Arapiles
39750340;PLAZA MAYOR TOP LOCATION APARTMENT;305484794;Palacio;Entire home/apt;90;3;5;2020-06-01;0.69;1;149;2020-07-17;Madrid;Spain;40.41180554016015, -3.7094824549264325;Spain, Madrid, Palacio
39751495;Bright and Central Single Room.;298857336;San Diego;Private room;17;2;2;2019-12-05;0.24;1;0;2020-07-17;Madrid;Spain;40.393141192236044, -3.663114509243319;Spain, Madrid, San Diego
39765598;Penthouse with private terrace & balcony in Plaza Mayor square. Plaza Mayor IV;2105590;Sol;Entire home/apt;171;1;8;2020-03-04;1.04;21;94;2020-07-17;Madrid;Spain;40.41449216953839, -3.706326691160461;Spain, Madrid, Sol
39765702;Aparto Gran Vía Madrid;305654250;Universidad;Entire home/apt;35;21;1;2020-01-07;0.15;1;1;2020-07-17;Madrid;Spain;40.423061996101865, -3.710695567272453;Spain, Madrid, Universidad
39863808;Habitación privada muy cerca del ifema!;138342982;Corralejos;Private room;82;2;4;2019-12-08;0.49;1;0;2020-07-17;Madrid;Spain;40.46684486639908, -3.595578318940963;Spain, Madrid, Corralejos
39881952;LEGANT APARTMENT CLOSE TO PLAZA CASTILLA & IFEMA;306879796;Costillares;Entire home/apt;49;2;14;2020-06-28;1.78;3;327;2020-07-17;Madrid;Spain;40.46901751483363, -3.6665504205556365;Spain, Madrid, Costillares
39882735;Hostal Cervelo | Habitación Cuádruple;307109778;Cortes;Private room;60;1;0;;;5;210;2020-07-17;Madrid;Spain;40.41414565477109, -3.7012875832766388;Spain, Madrid, Cortes
39895515;Habitación en el centro de Madrid;307263764;Embajadores;Private room;100;6;0;;;1;83;2020-07-17;Madrid;Spain;40.40994463377952, -3.710456698115256;Spain, Madrid, Embajadores
39912403;Bella Hab para 3 prs a 10 pasos de GRAN VÍA (2/10);307533743;Universidad;Private room;40;1;29;2020-03-11;3.49;10;360;2020-07-17;Madrid;Spain;40.4212996516437, -3.7034576485170048;Spain, Madrid, Universidad
39923218;Bella Hab para 2 prs a 10 pasos de GRAN VÍA (8/10);307533743;Universidad;Private room;30;1;35;2020-03-02;4.17;10;358;2020-07-17;Madrid;Spain;40.421655424106405, -3.7046937975682868;Spain, Madrid, Universidad
39931566;Oriente Palace Apartments - Apartamento Superior;304290765;Palacio;Private room;400;1;0;;;7;255;2020-07-17;Madrid;Spain;40.417866543115665, -3.711903329887571;Spain, Madrid, Palacio
39931595;Oriente Palace Apartments - Estudio twin con vistas;304290765;Palacio;Private room;200;1;0;;;7;293;2020-07-17;Madrid;Spain;40.4189542232915, -3.7122183285307675;Spain, Madrid, Palacio
39931621;Oriente Palace Apartments - Estudio Interior.;304290765;Palacio;Private room;400;1;0;;;7;267;2020-07-17;Madrid;Spain;40.41728151624028, -3.711962519503813;Spain, Madrid, Palacio
39939908;Apartamento turístico Jardines de Asura;301896933;Colina;Entire home/apt;90;1;6;2020-02-23;0.76;1;181;2020-07-17;Madrid;Spain;40.457031622648586, -3.6555518477117803;Spain, Madrid, Colina
39940471;MODERN APARTMENT IN MADRID;46460350;Valdezarza;Entire home/apt;39;2;7;2020-02-10;0.88;1;352;2020-07-17;Madrid;Spain;40.45934256868871, -3.7117068944991183;Spain, Madrid, Valdezarza
